question_text,question_type,topic,difficulty,explanation,option_a,option_b,option_c,option_d,correct_answers
Folgende Aussagen zu externen Projekten in der strategischen Bewertung sind korrekt:,multiple_choice,Skript 5,medium,Bei externen Projekten ist auch die Bedeutung des Kunden beziehungsweise Auftraggebers für das eigene Unternehmen relevant.,Die Bedeutung des Kunden kann ein Bewertungskriterium sein,Der Auftraggeber des Projekts kann strategisch relevant sein,Kundenbedeutung kann in die Portfolioentscheidung einfließen,Kunden sind bei externen Projekten grundsätzlich irrelevant,A|B|C
Folgende Aussagen beschreiben operatives Projektmanagement als Führungs- und Managementaufgabe:,multiple_choice,Skript 5,medium,Operatives PM ist eine anspruchsvolle Führungs- und Managementaufgabe zur Bewältigung komplexer Projektaufgaben.,Es dient der Bewältigung komplexer Aufgaben,Es umfasst Führung und Steuerung,Es beinhaltet Teamarbeit,Es beschränkt sich ausschließlich auf Ablage von Protokollen,A|B|C
Folgende Aussagen zum Projektstrukturplan sind korrekt:,multiple_choice,Skript 6,medium,Der PSP gliedert den gesamten Leistungsumfang in Teilaufgaben und Arbeitspakete und schafft Transparenz.,Er gliedert den Leistungsumfang in Teilaufgaben und Arbeitspakete,"Er unterstützt Planen, Steuern und Überwachen",Er schafft Transparenz gegenüber Stakeholdern,Er ersetzt den Projektauftrag vollständig,A|B|C
Folgende Zwecke erfüllt ein Projektstrukturplan laut Folien:,multiple_choice,Skript 6,medium,"Der PSP dient Zielprüfung, Arbeitspaketbestimmung, Dokumentengliederung und Risikomanagement-Grundlage.",Vollständige Darstellung des Leistungsumfangs,Bestimmung der Arbeitspakete,Grundlage für Risikomanagement und Projektsitzungen,Vermeidung jeglicher Projektstruktur,A|B|C
Folgende Aufbauarten eines PSP werden genannt:,multiple_choice,Skript 6,easy,"Der PSP kann funktionsorientiert, objektorientiert, phasen-/ablauforientiert oder gemischt aufgebaut sein.",Funktionsorientiert,Objektorientiert,Phasen- beziehungsweise ablauforientiert,Gemischtorientiert,A|B|C|D
Folgende Aussagen zu Top-Down und Bottom-Up beim PSP sind korrekt:,multiple_choice,Skript 6,medium,Top-Down zerlegt die Gesamtaufgabe; Bottom-Up sammelt Einzelaktivitäten und bündelt sie nach oben.,Top-Down zerlegt die Gesamtaufgabe in Teilprojekte und Arbeitspakete,Bottom-Up sammelt Einzelaktivitäten und fasst sie zusammen,Beide Ansätze können zur Strukturierung beitragen,"Bottom-Up bedeutet, den PSP nie zu strukturieren",A|B|C
Folgende Aussagen zu Arbeitspaketen sind korrekt:,multiple_choice,Skript 6,medium,"Arbeitspakete sind kleinste PSP-Elemente, in sich geschlossene Aufgaben mit Start, Ende, Umfang und Kostenschätzung.",Sie sind das kleinste Element im PSP,Sie sind in sich geschlossene Aufgabenstellungen,Sie haben Start- und Endzeitpunkt sowie klaren Inhalt,Sie dürfen niemals einer verantwortlichen Person zugewiesen werden,A|B|C
Folgende Anforderungen sollten Arbeitspakete erfüllen:,multiple_choice,Skript 6,medium,"AP sollten klar beschrieben, abgegrenzt, zuordenbar und eindeutig verantwortlich sein.","Ziele, Aktivitäten, Zeiten und Kosten klar beschreiben",Als eigenständige und abgegrenzte Einheiten formulieren,Eindeutigen Verantwortlichen festlegen,Externe Aufgaben nie als eigene Arbeitspakete formulieren,A|B|C
Folgende Aussagen zur Größe von Arbeitspaketen sind korrekt:,multiple_choice,Skript 6,hard,"Zu große AP erschweren frühe Abweichungserkennung, zu kleine AP erhöhen Planungs- und Controllingaufwand.",Zu große Arbeitspakete erschweren frühzeitiges Erkennen von Abweichungen,Zu kleine Arbeitspakete erhöhen Planungs- und Controllingaufwand,Das Kostenvolumen sollte weder zu klein noch zu groß sein,"Je kleiner jedes AP, desto geringer ist immer der Controllingaufwand",A|B|C
Folgende Aussagen zum PSP in agilen Projekten sind korrekt:,multiple_choice,Skript 6,hard,Auch agile Projekte können Struktur benötigen; PSP-Elemente können in Backlog-Strukturen überführt werden.,Ein PSP kann auch in agilen Projekten als Startpunkt sinnvoll sein,Statt fester Endpunkte können Zeitintervalle beziehungsweise Sprints eingeplant werden,Objektorientierte Gliederungen können die Übernahme ins Backlog erleichtern,Agile Projekte dürfen niemals Struktur besitzen,A|B|C
Folgende Aussagen zum Ablaufplan sind korrekt:,multiple_choice,Skript 6,medium,"Der Ablaufplan ordnet Arbeitspakete zeitlich-logisch, unterscheidet seriell und parallel, setzt aber noch keine Termine.",Alle Arbeitspakete müssen bekannt sein,Serielle und parallele Bearbeitung wird erkannt,Termine werden in diesem Schritt noch nicht festgelegt,Der Ablaufplan ist identisch mit der Schlussrechnung,A|B|C
Folgende Aussagen zur Zeit- und Terminplanung sind korrekt:,multiple_choice,Skript 6,medium,"Der Terminplan baut auf dem Ablaufplan auf und ermittelt Projektdauer, Anfang/Ende von Vorgängen und Pufferzeiten.",Der Terminplan baut auf dem Ablaufplan auf,Zeitblöcke der Vorgänge werden zunächst geschätzt,Pufferzeiten können ermittelt werden,Der Terminplan wird ohne Vorgangsdauern erstellt,A|B|C
Folgende Methoden der Terminplanung werden in den Folien genannt:,multiple_choice,Skript 6,easy,"Genannt werden einfache Listen, Balkendiagramme/Gantt-Charts und Netzplantechnik.",Einfache Listen,Balkendiagramme beziehungsweise Gantt-Charts,Netzplantechnik,Bilanzanalyse als alleinige Terminplanung,A|B|C
Folgende Aussagen zu Meilensteinen sind korrekt:,multiple_choice,Skript 6,medium,"Meilensteine sind Prüfpunkte beziehungsweise Ereignisse ohne Zeitdauer, häufig am Ende von Phasen.",Sie können Prüfpunkte sein,"Sie markieren Ereignisse wie Abschluss, Beginn oder Entscheidung",Sie haben keine Zeitdauer,Sie sind immer mehrtägige Vorgänge mit Ressourceneinsatz,A|B|C
Folgende Aussagen zur Netzplantechnik sind korrekt:,multiple_choice,Skript 6,medium,"Die Netzplantechnik stellt Projektprozesse grafisch dar, identifiziert kritische Abläufe und unterstützt Überwachung und Steuerung.",Sie ist eine grafische Darstellung eines Projektprozesses,Sie kann kritische Aktivitäten und Abläufe identifizieren,Sie kann zur Projektüberwachung und -steuerung eingesetzt werden,Sie ist bei vielen Arbeitspaketen immer völlig aufwandslos,A|B|C
Folgende Vorteile der Netzplantechnik werden genannt:,multiple_choice,Skript 6,medium,"NPT zwingt zum logischen Durchdenken, zeigt Abhängigkeiten und unterstützt Ressourcen- und Kapazitätsplanung.",Logisches Durchdenken des Projektverlaufs,Übersichtliche Darstellung komplizierter Abhängigkeiten,Zeitgerechte Planung von Ressourcen und Kapazitäten,Verzicht auf jede Terminlogik,A|B|C
Folgende Elemente gehören zur Netzplantechnik:,multiple_choice,Skript 6,hard,"NPT nutzt Vorgänge, laufende Nummern, Anfangs-/Endzeitpunkte, Dauer und Pufferzeiten.",FAZ und FEZ,SAZ und SEZ,Dauer des Vorgangs,Gesamtpuffer,A|B|C|D
Folgende Methoden der Netzplantechnik werden genannt:,multiple_choice,Skript 6,hard,"Die Folien nennen Critical Chain Method, Critical Path Method und PERT.",CCP beziehungsweise Critical Chain Method,CPM beziehungsweise Critical Path Method,PERT beziehungsweise Program Evaluation/Review Technique,SMART als Netzplanverfahren,A|B|C
Folgende Aussagen zur Ressourcenplanung sind korrekt:,multiple_choice,Skript 6,medium,"Ressourcen müssen in Qualität, Quantität, Zeit und Ort passen.",Richtige Ressourcen in richtiger Qualität,Richtige Menge beziehungsweise Quantität,Zur richtigen Zeit und am richtigen Ort,Ressourcenbedarf ist unabhängig von Arbeitspaketen,A|B|C
Folgende Aufgaben gehören zur Ressourcenplanung:,multiple_choice,Skript 6,medium,"Ressourcenplanung umfasst Bedarfsermittlung, Kapazitätsermittlung, Engpassanalyse und Optimierung.",Bedarfsermittlung,Ermittlung verfügbarer Kapazitäten,Ermittlung möglicher Engpässe,Optimierung des Ressourceneinsatzes,A|B|C|D
Folgende Aussagen zur Personalplanung sind korrekt:,multiple_choice,Skript 6,medium,Personalplanung ermittelt den Bedarf je Arbeitspaket und kann über Ressourcenbedarf geteilt durch Mitarbeiterzahl die Vorgangsdauer ableiten.,Sie wird auch Personalbedarfsplanung genannt,Der Personalbedarf wird für jedes Arbeitspaket identifiziert,Vorgangsdauer kann aus Ressourcenbedarf geteilt durch Mitarbeiterzahl abgeleitet werden,Personalplanung betrifft nur externe Projekte und nie interne,A|B|C
Folgende Beispiele gehören zu Sachmitteln beziehungsweise Betriebsmitteln:,multiple_choice,Skript 6,easy,"Sachmittel/Material umfasst Rohstoffe, Betriebsstoffe, Zukaufteile; Betriebsmittel umfassen Maschinen, Anlagen, Räume oder EDV.",Rohstoffe und Betriebsstoffe,Zukaufteile,Maschinen und Anlagen,Räume und EDV-Equipment,A|B|C|D
Folgende Maßnahmen können bei Ressourcenengpässen helfen:,multiple_choice,Skript 6,medium,"Bei Engpässen können Pufferzeiten genutzt, Kapazitäten erweitert, Projekte verlängert, priorisiert oder andere Einsatzmittel verwendet werden.",Ausgleich durch Nutzung von Pufferzeiten,Kapazitätserweiterung,Projektverlängerung oder Priorisierung,Einsatz anderer Einsatzmittel,A|B|C|D
Folgende Ziele verfolgt die Kostenplanung:,multiple_choice,Skript 6,medium,"Kostenplanung dient interner Wirtschaftlichkeitsrechnung, Angebots-/Rechnungsbasis, Finanzplanung und Controlling.",Wirtschaftlichkeitsrechnung bei internen Projekten,Basis für Angebotserstellung und Rechnungsstellung bei externen Projekten,Grundlage der Finanzplanung,Ermittlung der Plankosten für projektbegleitendes Controlling,A|B|C|D
Folgende Kostenarten werden in der Kostenplanung der Folien unterschieden:,multiple_choice,Skript 6,easy,"Die Folien unterscheiden Personal-, Sach-/Material-, Betriebsmittel-, sonstige und Gemeinkosten.",Personalkosten,Sach- und Materialkosten,Betriebsmittelkosten,Gemeinkosten,A|B|C|D
Folgende Aussagen zur Kostenplanung auf Basis von Arbeitspaketen sind korrekt:,multiple_choice,Skript 6,medium,Kosten pro Arbeitspaket zu schätzen erleichtert später das Projektcontrolling.,Kosten sollten pro Arbeitspaket geschätzt werden,"Die Schätzung kann Personal, Material, Betriebsmittel und Sonstiges umfassen",Die Arbeitspaket-Sicht erleichtert Controlling in der Durchführung,Kostenplanung sollte grundsätzlich nur als Gesamtsumme ohne AP-Bezug erfolgen,A|B|C
Folgende Aussagen zur Finanz- beziehungsweise Budgetplanung sind korrekt:,multiple_choice,Skript 6,medium,"Auf Basis der Kostenplanung wird Budget-/Finanzplanung erstellt, damit Finanzmittel passend zum Bedarf verfügbar sind.",Sie basiert auf der Kostenplanung,Sie soll notwendige Finanzmittel entsprechend dem Finanzbedarf sichern,Sie betrachtet den zeitlichen Ablauf von Zahlungen,Einnahmen und Ausgaben fallen immer exakt gleichzeitig an,A|B|C
Folgende Schätzmethoden werden in den Folien genannt:,multiple_choice,Skript 6,medium,"Die Folien nennen intuitive Schätzung, Vergleichs-/Analogiemethode, Kennzahlenmethode und Detailschätzung.",Intuitive Schätzung,Vergleichs- oder Analogiemethode,Kennzahlenmethode,Detailschätzung,A|B|C|D
Folgende Ursachen für Fehlschätzungen werden genannt:,multiple_choice,Skript 6,medium,"Fehlschätzungen entstehen durch Nachlässigkeit, vergessene Arbeiten, Unterschätzung, unrealistische Vorgaben und Optimismus.",Notwendige Arbeiten werden vergessen,Unrealistische Vorgaben,Überschätzung eigener Fähigkeiten,Zuviel Optimismus beziehungsweise rosarote Brille,A|B|C|D
Folgende Aussagen zur Delphi-Methode sind korrekt:,multiple_choice,Skript 6,hard,"Die Delphi-Methode nutzt mehrere verdeckte Schätzrunden, Rückkopplung und Diskussion, um Schätzungen verlässlicher zu machen.",Sie eignet sich bei hohem Fehlerrisiko von Schätzungen,Mehrere verdeckte Schätzrunden werden durchgeführt,Ausreißer können durch Diskussion und Wiederholung reduziert werden,Sie ist völlig aufwandsfrei und daher immer die billigste Methode,A|B|C
Folgende Schritte gehören zum Projektcontrolling-Steuerungszyklus:,multiple_choice,Skript 6,medium,"Der Zyklus umfasst Ist-Werte, Soll-Ist-Vergleich, Abweichungsanalyse, Korrekturmaßnahmen und ggf. Planrevision.",Ist-Werte erfassen,Soll-Ist-Vergleich durchführen,Abweichungsanalyse durchführen,Korrekturmaßnahmen planen und durchführen,A|B|C|D
Folgende Aussagen zum Projektcontrolling nach DIN-orientierter Darstellung sind korrekt:,multiple_choice,Skript 6,hard,"Projektcontrolling sichert Zielerreichung über Ist-Daten, Soll-Ist-Vergleich, Abweichungsanalyse, Bewertung und Maßnahmensteuerung.",Ist-Datenerfassung gehört dazu,Soll-Ist-Vergleich gehört dazu,Analyse und Bewertung von Abweichungen gehören dazu,Maßnahmenplanung und Steuerung der Maßnahmen gehören dazu,A|B|C|D
Folgende Fragen sind bei der Vorbereitung des Projektcontrollings zu klären:,multiple_choice,Skript 6,medium,"Zu klären sind Überwachungsumfang, Rollen, Berichtswege, Hol-/Bring-Schuld und Ist-Wert-Erfassung.",Was soll überwacht werden?,"Wer berichtet wann, was und in welcher Form?",Gilt Hol- oder Bring-Schuld?,Wie werden Ist-Werte einheitlich erfasst?,A|B|C|D
Folgende Aussagen zur Earned Value Analyse sind korrekt:,multiple_choice,Skript 6,hard,"EVA überwacht Termin- und Kostentreue, prognostiziert Kosten und Endtermin, ist aber aufwendig und bei klar definiertem Leistungsumfang sinnvoll.",Sie kann Termin- und Kostentreue überwachen,Sie kann Prognosen zu Gesamtkosten und Endtermin unterstützen,Sie kann als Frühwarnsystem dienen,Sie ist bei völlig offenem Leistungsumfang ohne Aufwand immer ideal,A|B|C
Folgende Aussagen zu CPI und SPI in der Earned Value Analyse sind korrekt:,multiple_choice,Skript 6,hard,SPI und CPI setzen Earned Value zu Plan-Aufwand beziehungsweise Ist-Kosten in Beziehung; Werte unter 1 deuten auf Probleme hin.,SPI ist Earned Value geteilt durch Plan-Aufwand,CPI ist Earned Value geteilt durch Ist-Kosten,Ein Wert unter 1 kann auf Überbudget oder Zeitverzug hindeuten,Ein Wert größer 1 bedeutet zwingend Projektabbruch,A|B|C
Folgende Korrekturmaßnahmen bei Abweichungen werden in den Folien genannt:,multiple_choice,Skript 6,medium,"Korrekturmaßnahmen können mehr Personal, Überstunden, externe Vergabe, Scope-Reduktion oder Terminverschiebung sein.",Mehr Mitarbeiter einsetzen,Überstunden,Teilaufträge extern vergeben,Reduzierung von Leistungsumfang beziehungsweise Qualität oder Terminverschiebung,A|B|C|D
Folgende Aussagen zur Revision der Planung sind korrekt:,multiple_choice,Skript 6,hard,"Wenn Abweichungen nicht auffangbar sind oder neue Erkenntnisse Planvorgaben hinfällig machen, sind Leistung, Kosten oder Termine zu revidieren.",Leistungsergebnis kann revidiert werden,Kosten können revidiert werden,Termine können revidiert werden,Eine Revision darf auch bei überholten Planvorgaben niemals stattfinden,A|B|C
Folgende Aussagen zur Projektdokumentation sind korrekt:,multiple_choice,Skript 6,medium,"Projektdokumentation sammelt wesentliche Unterlagen zentral, unterstützt Information und Audits und wird nach Abschluss archiviert.",Sie ist eine systematische Sammlung wesentlicher Unterlagen,Wichtige Dokumente sollten zentral geführt werden,Sie ist relevant für mögliche Projekt-Audits,Nach Abschluss werden Dokumente archiviert,A|B|C|D
Folgende Dokumente können zur Projektdokumentation gehören:,multiple_choice,Skript 6,medium,"Die Folien nennen Projektziele, Pflichtenheft, Lastenheft, Verträge, Protokolle und Planungsunterlagen.","Projektziele, Pflichtenheft und Lastenheft",Verträge und Protokolle,Projektstrukturplan und Projektorganigramm,"Ablaufplan, Terminplan, Kostenplan und Budget-/Finanzplan",A|B|C|D
Folgende Projektberichte werden in den Folien unterschieden:,multiple_choice,Skript 6,easy,"Genannt werden Projekt-Statusbericht, Projekt-Sonderbericht und Projekt-Abschlussbericht.",Projekt-Statusbericht,Projekt-Sonderbericht,Projekt-Abschlussbericht,Privater Urlaubsbericht ohne Projektbezug,A|B|C
Folgende Aussagen zum Projektabschluss sind korrekt:,multiple_choice,Skript 6,medium,"Projektabschluss ist das formale Ende; mögliche Formen sind ordentlicher Abschluss, Abbruch, Aushöhlung oder Ausdehnung.",Ordnungsgemäßer Abschluss ist möglich,Projektabbruch ist möglich,Projektaushöhlung oder Projektausdehnung können auftreten,Der Projektabschluss ist immer identisch mit dem ersten Kickoff,A|B|C
Folgende Aufgaben gehören zur Projektabnahme und Abschlusssitzung:,multiple_choice,Skript 6,hard,"Projektabnahme prüft Zielerreichung und Erwartungen; die Abschlusssitzung analysiert Ergebnisse, Kosten, Verlauf und Lessons Learned.","Prüfen, ob die im Projektauftrag definierten Ziele erreicht wurden","Prüfen, ob Ergebnisse den Erwartungen entsprechen",Abschlusskalkulation und Analyse des Projektverlaufs,Erfahrungen als Lessons Learned weitergeben,A|B|C|D
Folgende Inhalte gehören typischerweise in einen Projektabschlussbericht:,multiple_choice,Skript 6,medium,"Der Abschlussbericht fasst Aufgaben, Ergebnisse, Zeit-, Kosten- und Personalaufwand sowie mögliche Anschlussprojekte zusammen.",Zusammenfassende Darstellung von Aufgaben,Darstellung erzielter Ergebnisse,"Zeit-, Kosten- und Personalaufwand",Hinweise auf mögliche Anschlussprojekte,A|B|C|D
